job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_left_trim_pred,TRUE,4,350,0.05,0.03,0.00,0.00,0.00,0.08
byte_cursor_eq_byte_buf,TRUE,5,678,0.73,0.71,0.00,0.00,0.00,0.76
array_list_push_back,TRUE,7,435,4.59,4.57,0.00,0.00,0.00,4.62
byte_cursor_read_be16,TRUE,4,260,0.09,0.08,0.00,0.00,0.00,0.11
byte_cursor_compare_lexical,TRUE,4,672,1.17,1.16,0.00,0.00,0.00,1.20
byte_cursor_right_trim_pred,TRUE,4,324,0.11,0.09,0.00,0.00,0.00,0.13
byte_cursor_eq,TRUE,4,664,1.14,1.12,0.00,0.00,0.00,1.17
byte_cursor_satisfies_pred,TRUE,4,274,0.05,0.03,0.00,0.00,0.00,0.07
byte_cursor_read_u8,TRUE,5,521,0.14,0.10,0.00,0.00,0.00,0.16
hash_ptr,TRUE,6,21,0.02,0.01,0.00,0.00,0.03
array_list_copy,TRUE,7,412,5.12,5.10,0.00,0.00,0.00,5.14
byte_cursor_read,TRUE,5,707,0.60,0.54,0.00,0.00,0.00,0.63
hash_array_ignore_case,TRUE,5,145,0.03,0.01,0.00,0.00,0.00,0.05
byte_cursor_read_be32,TRUE,4,330,0.75,0.73,0.00,0.00,0.00,0.77
byte_cursor_from_c_str,TRUE,5,694,1.25,1.23,0.00,0.00,0.00,1.28
hash_byte_cursor_ptr_ignore_case,TRUE,4,152,0.03,0.02,0.00,0.00,0.00,0.05
byte_cursor_read_and_fill_buffer,TRUE,5,1058,0.79,0.67,0.00,0.00,0.00,0.82
hash_string,TRUE,5,427,0.21,0.20,0.00,0.00,0.24
byte_cursor_trim_pred,TRUE,4,536,0.61,0.58,0.00,0.00,0.00,0.64
hash_callback_string_destroy,TRUE,5,173,0.19,0.17,0.00,0.00,0.20
array_list_shrink_to_fit,TRUE,6,372,6.05,6.03,0.00,0.00,0.00,6.08
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1039,2.21,2.19,0.00,0.00,0.00,2.24
byte_cursor_compare_lookup,TRUE,4,1030,2.33,2.30,0.01,0.00,0.00,2.37
byte_cursor_read_be64,TRUE,4,465,1.55,1.52,0.00,0.00,0.00,1.57
hash_table_get_entry_count,TRUE,5,334,0.23,0.21,0.00,0.00,0.00,0.25
byte_buf_init_copy,TRUE,5,839,3.93,3.81,0.00,0.00,0.00,3.95
