job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_eq,TRUE,4,536,0.52,0.45,0.00,0.00,0.00,0.04,0.54
array_list_push_back,TRUE,7,258,4.11,4.08,0.00,0.00,0.00,0.01,4.14
byte_cursor_read_be16,TRUE,4,188,0.08,0.05,0.00,0.00,0.00,0.01,0.10
byte_cursor_read_be64,TRUE,4,253,0.10,0.05,0.00,0.00,0.00,0.02,0.11
byte_cursor_compare_lookup,TRUE,4,864,0.84,0.71,0.01,0.00,0.00,0.07,0.89
byte_cursor_read_be32,TRUE,4,210,0.10,0.05,0.00,0.00,0.00,0.02,0.12
byte_cursor_satisfies_pred,TRUE,4,226,0.06,0.03,0.00,0.00,0.00,0.01,0.08
byte_cursor_read,TRUE,5,641,0.54,0.40,0.00,0.00,0.00,0.04,0.56
byte_cursor_read_u8,TRUE,5,248,0.15,0.07,0.00,0.00,0.00,0.02,0.17
byte_cursor_right_trim_pred,TRUE,4,278,0.12,0.08,0.00,0.00,0.00,0.01,0.14
hash_ptr,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.03
array_list_comparator_string,TRUE,6,1077,4.77,4.58,0.00,0.00,0.00,0.14,4.79
hash_array_ignore_case,TRUE,5,110,0.03,0.02,0.00,0.00,0.00,0.00,0.04
byte_cursor_eq_ignore_case,TRUE,4,1947,1.30,1.17,0.00,0.00,0.00,0.06,1.32
hash_byte_cursor_ptr_ignore_case,TRUE,4,106,0.03,0.01,0.00,0.00,0.00,0.00,0.05
hash_string,TRUE,5,187,0.11,0.06,0.00,0.00,0.02,0.15
hash_callback_string_destroy,TRUE,5,149,0.05,0.03,0.00,0.00,0.00,0.07
byte_cursor_trim_pred,TRUE,4,453,0.70,0.62,0.00,0.00,0.00,0.04,0.73
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1991,2.05,1.94,0.00,0.00,0.00,0.05,2.09
hash_c_string,TRUE,5,674,0.22,0.07,0.01,0.01,0.10,0.27
hash_table_get_entry_count,TRUE,5,432,0.31,0.19,0.00,0.00,0.00,0.09,0.34
hash_table_move,TRUE,5,432,0.32,0.20,0.00,0.00,0.00,0.09,0.34
array_list_copy,TRUE,7,189,6.18,6.15,0.00,0.00,0.00,0.01,6.21
hash_iter_done,TRUE,5,1009,0.85,0.40,0.01,0.00,0.00,0.40,0.90
hash_table_swap,TRUE,6,1129,1.08,0.59,0.00,0.00,0.00,0.44,1.11
byte_buf_cat,TRUE,8,396,5.26,5.14,0.01,0.00,0.00,0.03,5.32
hash_table_clean_up,TRUE,5,958,1.22,0.81,0.01,0.00,0.00,0.37,1.27
linked_list_init,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_iter_begin,TRUE,5,1195,1.65,1.08,0.01,0.00,0.00,0.49,1.71
hash_table_clear,TRUE,5,977,1.23,0.77,0.01,0.00,0.00,0.42,1.28
linked_list_begin,TRUE,4,394,0.41,0.32,0.00,0.00,0.00,0.02,0.45
linked_list_remove,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_byte_cursor_ptr,TRUE,4,313,1.37,1.25,0.01,0.01,0.00,0.09,1.47
hash_iter_begin_done,TRUE,5,1398,1.89,1.01,0.04,0.02,0.00,0.79,2.01
hash_callback_c_str_eq,TRUE,6,1296,2.38,2.09,0.01,0.00,0.00,0.21,2.43
linked_list_front,TRUE,4,438,0.76,0.68,0.00,0.00,0.00,0.03,0.80
linked_list_next,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_prev,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_node_reset,TRUE,4,93,0.03,0.02,0.00,0.00,0.00,0.00,0.04
hash_iter_next,TRUE,5,1297,2.64,2.01,0.01,0.00,0.00,0.57,2.69
hash_callback_string_eq,TRUE,6,1125,3.08,2.88,0.00,0.00,0.00,0.14,3.11
linked_list_insert_after,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_insert_before,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.02
linked_list_push_back,TRUE,4,451,0.44,0.31,0.01,0.00,0.00,0.04,0.49
string_bytes,TRUE,5,135,0.15,0.13,0.00,0.00,0.00,0.00,0.16
hash_table_init_unbounded,TRUE,5,1155,2.93,2.71,0.00,0.00,0.00,0.13,2.96
linked_list_pop_back,TRUE,4,653,0.97,0.79,0.01,0.00,0.00,0.06,1.02
linked_list_pop_front,TRUE,4,697,1.01,0.80,0.01,0.00,0.00,0.08,1.06
linked_list_rend,TRUE,4,399,0.39,0.31,0.00,0.00,0.00,0.02,0.43
