job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,2034,2.42,2.30,0.00,0.00,0.00,0.08,2.45
byte_cursor_read_be64,TRUE,4,259,1.57,1.50,0.00,0.00,0.00,0.05,1.60
hash_table_get_entry_count,TRUE,5,439,0.43,0.30,0.00,0.00,0.00,0.11,0.46
hash_table_move,TRUE,5,438,0.43,0.30,0.00,0.00,0.00,0.11,0.45
byte_buf_init_copy,TRUE,5,899,4.29,4.15,0.00,0.00,0.00,0.10,4.32
hash_iter_done,TRUE,5,558,0.66,0.44,0.01,0.00,0.00,0.20,0.71
array_list_erase,TRUE,5,190,7.16,7.12,0.00,0.00,0.00,0.02,7.19
hash_table_clear,TRUE,5,770,1.00,0.61,0.01,0.00,0.00,0.36,1.05
hash_c_string,TRUE,5,914,1.33,1.16,0.01,0.01,0.14,1.38
linked_list_init,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_table_clean_up,TRUE,5,751,1.19,0.85,0.01,0.00,0.00,0.31,1.23
linked_list_remove,TRUE,4,19,0.03,0.01,0.00,0.00,0.00,0.01,0.04
linked_list_next,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_write_from_whole_string,TRUE,6,1826,4.90,4.66,0.00,0.00,0.00,0.22,4.92
linked_list_prev,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_node_reset,TRUE,4,58,0.08,0.07,0.00,0.00,0.00,0.00,0.08
hash_iter_begin,TRUE,5,1200,2.27,1.76,0.01,0.01,0.00,0.47,2.33
hash_iter_next,TRUE,5,838,2.46,2.10,0.01,0.00,0.00,0.33,2.51
hash_table_swap,TRUE,6,1139,2.52,2.06,0.00,0.00,0.00,0.43,2.56
hash_iter_begin_done,TRUE,5,1403,2.42,1.58,0.04,0.02,0.00,0.80,2.53
hash_table_init_unbounded,TRUE,5,1033,2.20,2.01,0.00,0.00,0.00,0.16,2.23
linked_list_insert_after,TRUE,4,19,0.03,0.01,0.00,0.00,0.00,0.01,0.04
linked_list_insert_before,TRUE,4,19,0.03,0.01,0.00,0.00,0.00,0.00,0.04
hash_byte_cursor_ptr,TRUE,4,877,2.49,2.34,0.01,0.01,0.00,0.11,2.59
linked_list_begin,TRUE,4,591,2.01,1.87,0.00,0.00,0.00,0.11,2.04
linked_list_end,TRUE,4,602,2.10,1.97,0.00,0.00,0.00,0.10,2.14
linked_list_back,TRUE,4,610,2.36,2.24,0.00,0.00,0.00,0.10,2.40
string_bytes,TRUE,5,143,0.40,0.38,0.00,0.00,0.00,0.01,0.42
hash_table_find,TRUE,5,1353,4.09,3.32,0.02,0.01,0.00,0.73,4.17
linked_list_front,TRUE,4,656,3.50,3.36,0.00,0.00,0.00,0.11,3.54
linked_list_rbegin,TRUE,4,743,1.77,1.65,0.01,0.00,0.00,0.10,1.82
linked_list_rend,TRUE,4,597,1.91,1.77,0.00,0.00,0.00,0.11,1.96
string_new_from_c_str,TRUE,6,595,0.39,0.30,0.00,0.00,0.00,0.06,0.42
string_destroy,TRUE,5,139,0.09,0.08,0.00,0.00,0.00,0.11
array_list_comparator_string,TRUE,6,1630,12.32,12.04,0.00,0.00,0.00,0.27,12.35
linked_list_pop_front,TRUE,4,888,4.27,3.99,0.01,0.00,0.00,0.24,4.33
linked_list_push_back,TRUE,4,763,3.88,3.70,0.01,0.00,0.00,0.15,3.93
linked_list_pop_back,TRUE,4,899,4.52,4.23,0.01,0.00,0.00,0.25,4.57
linked_list_push_front,TRUE,4,956,3.82,3.57,0.01,0.00,0.00,0.21,3.87
string_destroy_secure,TRUE,5,365,0.43,0.40,0.00,0.00,0.00,0.01,0.44
priority_queue_clean_up,TRUE,6,31,0.03,0.01,0.00,0.00,0.01,0.05
hash_table_init_bounded,TRUE,5,1117,7.16,6.94,0.00,0.00,0.00,0.18,7.19
priority_queue_init_static,TRUE,13,57,0.45,0.43,0.00,0.00,0.00,0.01,0.47
priority_queue_size,TRUE,6,226,1.03,0.98,0.00,0.00,0.00,0.02,1.07
ring_buffer_clean_up,TRUE,5,119,0.30,0.27,0.00,0.00,0.00,0.01,0.32
string_new_from_array,TRUE,6,637,3.35,3.31,0.00,0.00,0.00,0.02,3.36
ring_buffer_init,TRUE,5,141,0.31,0.28,0.00,0.00,0.00,0.01,0.33
priority_queue_init_dynamic,TRUE,5,81,0.87,0.84,0.00,0.00,0.00,0.01,0.89
priority_queue_capacity,TRUE,6,224,1.06,1.01,0.00,0.00,0.00,0.02,1.10
string_eq_byte_cursor,TRUE,5,893,4.47,4.36,0.00,0.00,0.00,0.08,4.49
string_eq_byte_buf,TRUE,6,913,4.74,4.63,0.00,0.00,0.00,0.08,4.76
priority_queue_top,TRUE,6,228,1.13,1.08,0.00,0.00,0.00,0.02,1.17
string_eq_byte_buf_ignore_case,TRUE,6,2242,5.11,4.97,0.00,0.00,0.00,0.11,5.14
string_eq_c_str,TRUE,6,1365,4.96,4.68,0.00,0.00,0.00,0.24,5.00
string_eq_ignore_case,TRUE,6,3722,4.49,3.93,0.00,0.00,0.00,0.53,4.53
byte_buf_eq2,TRUE,6,756,2.27,2.18,0.00,0.00,0.00,0.07,2.31
string_new_from_string,TRUE,6,890,5.31,5.23,0.00,0.00,0.00,0.07,5.33
string_eq,TRUE,6,1064,7.67,7.51,0.00,0.00,0.00,0.14,7.70
hash_callback_c_str_eq,TRUE,6,1606,11.55,11.26,0.01,0.00,0.00,0.27,11.59
string_compare,TRUE,6,1131,8.82,8.61,0.00,0.00,0.00,0.18,8.85
string_eq_byte_cursor_ignore_case,TRUE,5,3293,8.48,8.27,0.00,0.00,0.00,0.18,8.51
array_list_set_at,TRUE,7,414,19.19,19.08,0.00,0.00,0.00,0.09,19.23
string_eq_c_str_ignore_case,TRUE,6,3792,9.28,8.49,0.00,0.00,0.00,0.76,9.32
hash_callback_string_eq,TRUE,6,1821,14.05,13.63,0.00,0.00,0.00,0.39,14.08
priority_queue_s_remove_node,TRUE,7,2287,4.84,4.25,0.02,0.01,0.00,0.54,4.93
priority_queue_s_sift_either,TRUE,6,2014,4.74,4.37,0.02,0.00,0.00,0.33,4.84
hash_table_foreach,TRUE,5,4425,16.07,10.71,0.03,0.02,0.00,5.24,16.20
priority_queue_pop,TRUE,7,223,5.98,5.91,0.02,0.00,0.00,0.03,6.05
linked_list_swap_contents,TRUE,4,3928,13.51,11.84,0.06,0.01,0.00,1.58,13.68
hash_table_put,TRUE,6,3405,17.77,15.12,0.02,0.02,0.00,2.58,17.86
hash_table_remove,TRUE,5,2614,17.88,16.10,0.01,0.01,0.00,1.73,17.95
priority_queue_remove,TRUE,7,268,8.82,8.76,0.02,0.00,0.00,0.03,8.90
array_list_swap,TRUE,5,467,28.24,28.19,0.00,0.00,0.00,0.04,28.27
ring_buffer_acquire_up_to,TRUE,6,305,24.97,24.88,0.01,0.00,0.00,0.05,25.03
ring_buffer_release,TRUE,6,209,26.13,26.08,0.00,0.00,0.00,0.02,26.18
hash_table_create,TRUE,6,3577,35.55,32.60,0.02,0.02,0.00,2.87,35.66
hash_table_eq,TRUE,6,8799,33.27,12.15,1.08,0.66,0.00,20.82,35.21
hash_iter_delete,TRUE,5,1463,38.37,37.67,0.00,0.00,0.00,0.65,38.41
ring_buffer_buf_belongs_to_pool,TRUE,6,234,41.38,41.33,0.00,0.00,0.00,0.03,41.42
hash_table_foreach_deep_precise,TRUE,5,9261,53.32,30.53,0.03,0.04,0.00,22.64,53.46
hash_table_foreach_deep_loose,TRUE,5,9202,56.04,33.23,0.03,0.04,0.00,22.67,56.17
priority_queue_push_ref,TRUE,10,1563,57.20,56.68,0.01,0.00,0.00,0.47,57.26
priority_queue_push,TRUE,10,1393,66.67,66.16,0.01,0.00,0.00,0.46,66.73
priority_queue_s_swap,TRUE,6,1150,98.25,98.06,0.01,0.00,0.00,0.15,98.29
ring_buffer_acquire,TRUE,6,277,124.85,124.76,0.01,0.00,0.00,0.05,124.91
