job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_buf_eq_ignore_case,TRUE,6,2056,2.60,2.50,0.00,0.00,0.00,0.08,2.64
byte_cursor_eq_byte_buf,TRUE,5,567,0.84,0.77,0.00,0.00,0.00,0.05,0.87
byte_cursor_compare_lexical,TRUE,4,575,1.25,1.19,0.00,0.00,0.00,0.05,1.28
byte_cursor_read_u8,TRUE,5,279,0.18,0.12,0.00,0.00,0.00,0.04,0.20
byte_cursor_right_trim_pred,TRUE,4,285,0.12,0.09,0.00,0.00,0.00,0.01,0.14
byte_cursor_read,TRUE,5,396,0.55,0.47,0.00,0.00,0.00,0.06,0.57
byte_cursor_eq,TRUE,4,554,1.19,1.13,0.00,0.00,0.00,0.04,1.22
byte_cursor_read_and_fill_buffer,TRUE,5,447,0.62,0.50,0.00,0.00,0.00,0.09,0.65
byte_cursor_satisfies_pred,TRUE,4,233,0.06,0.03,0.00,0.00,0.00,0.01,0.08
hash_ptr,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.03
array_list_copy,TRUE,7,159,5.03,5.00,0.00,0.00,0.00,0.01,5.06
byte_cursor_read_be32,TRUE,4,216,0.79,0.75,0.00,0.00,0.00,0.02,0.81
hash_array_ignore_case,TRUE,5,115,0.04,0.02,0.00,0.00,0.00,0.01,0.05
hash_byte_cursor_ptr_ignore_case,TRUE,4,111,0.03,0.02,0.00,0.00,0.00,0.00,0.05
byte_cursor_from_c_str,TRUE,5,709,1.44,1.37,0.00,0.00,0.00,0.06,1.46
byte_cursor_trim_pred,TRUE,4,460,0.66,0.60,0.00,0.00,0.00,0.04,0.69
byte_cursor_eq_ignore_case,TRUE,4,1949,1.68,1.58,0.00,0.00,0.00,0.08,1.72
hash_string,TRUE,5,371,0.24,0.20,0.00,0.00,0.03,0.28
hash_callback_string_destroy,TRUE,5,155,0.21,0.19,0.00,0.00,0.01,0.23
byte_cursor_compare_lookup,TRUE,4,874,2.36,2.23,0.01,0.00,0.00,0.09,2.41
byte_cursor_read_be64,TRUE,4,259,1.59,1.55,0.00,0.00,0.00,0.02,1.61
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,2034,2.31,2.21,0.00,0.00,0.00,0.08,2.34
hash_table_move,TRUE,5,438,0.34,0.22,0.00,0.00,0.00,0.10,0.36
hash_table_get_entry_count,TRUE,5,439,0.43,0.30,0.00,0.00,0.00,0.11,0.46
hash_iter_done,TRUE,5,558,0.63,0.41,0.01,0.00,0.00,0.19,0.67
byte_buf_init_copy,TRUE,5,899,4.46,4.34,0.00,0.00,0.00,0.09,4.48
array_list_erase,TRUE,5,190,7.01,6.98,0.00,0.00,0.00,0.01,7.04
hash_c_string,TRUE,5,914,1.39,1.22,0.01,0.00,0.14,1.44
linked_list_init,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_remove,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.04
hash_table_clear,TRUE,5,770,0.98,0.61,0.01,0.00,0.00,0.35,1.03
hash_table_clean_up,TRUE,5,751,1.18,0.85,0.01,0.00,0.00,0.30,1.21
linked_list_next,TRUE,4,19,0.01,0.01,0.00,0.00,0.00,0.00,0.02
linked_list_prev,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_node_reset,TRUE,4,58,0.08,0.07,0.00,0.00,0.00,0.00,0.09
hash_iter_begin,TRUE,5,1200,2.20,1.66,0.01,0.00,0.00,0.50,2.26
hash_iter_next,TRUE,5,838,2.26,1.93,0.01,0.00,0.00,0.30,2.31
byte_buf_write_from_whole_string,TRUE,6,1826,5.30,5.08,0.00,0.00,0.00,0.20,5.33
hash_iter_begin_done,TRUE,5,1403,2.42,1.58,0.03,0.02,0.00,0.79,2.53
hash_table_swap,TRUE,6,1139,2.61,2.12,0.00,0.00,0.00,0.46,2.65
linked_list_insert_after,TRUE,4,19,0.01,0.01,0.00,0.00,0.00,0.00,0.03
hash_table_init_unbounded,TRUE,5,1033,2.15,1.95,0.00,0.00,0.00,0.16,2.17
linked_list_insert_before,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_byte_cursor_ptr,TRUE,4,877,2.57,2.43,0.01,0.01,0.00,0.11,2.67
linked_list_end,TRUE,4,602,1.89,1.79,0.00,0.00,0.00,0.08,1.93
linked_list_begin,TRUE,4,591,2.02,1.91,0.00,0.00,0.00,0.08,2.06
linked_list_back,TRUE,4,610,2.19,2.08,0.00,0.00,0.00,0.08,2.22
string_bytes,TRUE,5,143,0.40,0.38,0.00,0.00,0.00,0.00,0.41
hash_table_find,TRUE,5,1353,3.86,3.13,0.01,0.01,0.00,0.69,3.93
linked_list_front,TRUE,4,656,3.40,3.27,0.00,0.00,0.00,0.10,3.43
linked_list_rend,TRUE,4,597,1.90,1.80,0.00,0.00,0.00,0.08,1.93
string_new_from_c_str,TRUE,6,595,0.37,0.30,0.00,0.00,0.00,0.06,0.40
linked_list_pop_front,TRUE,4,888,3.77,3.57,0.01,0.00,0.00,0.17,3.82
string_destroy,TRUE,5,139,0.09,0.07,0.00,0.00,0.00,0.10
linked_list_push_front,TRUE,4,956,3.49,3.28,0.01,0.00,0.00,0.18,3.55
linked_list_rbegin,TRUE,4,719,3.00,2.87,0.01,0.00,0.00,0.10,3.04
linked_list_pop_back,TRUE,4,899,4.29,4.08,0.01,0.00,0.00,0.18,4.34
linked_list_push_back,TRUE,4,763,3.86,3.72,0.01,0.00,0.00,0.11,3.92
string_destroy_secure,TRUE,5,365,0.63,0.60,0.00,0.00,0.00,0.01,0.64
priority_queue_clean_up,TRUE,6,31,0.03,0.01,0.00,0.00,0.00,0.05
array_list_comparator_string,TRUE,6,1630,13.36,13.05,0.00,0.00,0.00,0.28,13.38
hash_table_init_bounded,TRUE,5,1117,7.02,6.81,0.00,0.00,0.00,0.17,7.04
priority_queue_init_static,TRUE,12,54,0.39,0.38,0.00,0.00,0.00,0.00,0.42
priority_queue_size,TRUE,6,226,1.05,1.03,0.00,0.00,0.00,0.01,1.08
ring_buffer_clean_up,TRUE,5,119,0.28,0.26,0.00,0.00,0.00,0.01,0.30
string_eq_byte_cursor,TRUE,5,893,4.33,4.24,0.00,0.00,0.00,0.07,4.36
priority_queue_capacity,TRUE,6,224,1.08,1.06,0.00,0.00,0.00,0.01,1.12
priority_queue_init_dynamic,TRUE,5,81,0.88,0.86,0.00,0.00,0.00,0.00,0.90
string_new_from_array,TRUE,6,637,4.08,4.04,0.00,0.00,0.00,0.03,4.10
priority_queue_top,TRUE,6,228,1.12,1.09,0.00,0.00,0.00,0.01,1.16
ring_buffer_init,TRUE,5,141,0.32,0.30,0.00,0.00,0.00,0.01,0.34
string_eq_ignore_case,TRUE,6,3722,4.38,3.78,0.00,0.00,0.00,0.56,4.42
string_eq_byte_buf,TRUE,6,913,4.94,4.83,0.00,0.00,0.00,0.09,4.97
string_eq_byte_buf_ignore_case,TRUE,6,2242,5.06,4.93,0.00,0.00,0.00,0.10,5.10
string_eq_c_str,TRUE,6,1365,4.87,4.62,0.00,0.00,0.00,0.23,4.90
string_new_from_string,TRUE,6,890,3.79,3.71,0.00,0.00,0.00,0.07,3.81
byte_buf_eq2,TRUE,6,756,2.26,2.15,0.00,0.00,0.00,0.08,2.29
string_eq,TRUE,6,1064,7.50,7.34,0.00,0.00,0.00,0.13,7.53
hash_callback_c_str_eq,TRUE,6,1606,12.05,11.73,0.01,0.00,0.00,0.30,12.10
string_eq_byte_cursor_ignore_case,TRUE,5,3293,8.68,8.44,0.00,0.00,0.00,0.20,8.71
hash_callback_string_eq,TRUE,6,1821,13.25,12.84,0.00,0.00,0.00,0.39,13.29
string_compare,TRUE,6,1131,9.34,9.14,0.00,0.00,0.00,0.17,9.37
string_eq_c_str_ignore_case,TRUE,6,3792,9.00,8.24,0.00,0.00,0.00,0.73,9.04
array_list_set_at,TRUE,7,414,19.23,19.14,0.00,0.00,0.00,0.07,19.28
priority_queue_s_sift_either,TRUE,6,2348,3.62,3.27,0.02,0.00,0.00,0.31,3.71
priority_queue_pop,TRUE,7,223,4.77,4.71,0.02,0.00,0.00,0.03,4.83
hash_table_foreach,TRUE,5,4425,16.17,12.06,0.03,0.02,0.00,4.00,16.30
priority_queue_remove,TRUE,7,268,7.19,7.13,0.02,0.00,0.00,0.03,7.27
priority_queue_s_sift_down,TRUE,6,6000,8.13,5.67,0.15,0.03,0.00,2.38,8.44
hash_table_remove,TRUE,5,2614,18.57,16.79,0.01,0.01,0.00,1.73,18.64
linked_list_swap_contents,TRUE,4,3928,15.42,13.84,0.06,0.01,0.00,1.48,15.58
priority_queue_s_sift_up,TRUE,6,6090,9.26,6.37,0.14,0.03,0.00,2.80,9.55
priority_queue_s_remove_node,TRUE,7,2544,9.77,9.08,0.02,0.01,0.00,0.64,9.85
hash_table_create,TRUE,6,3577,25.68,22.67,0.02,0.02,0.00,2.93,25.78
hash_table_put,TRUE,6,3405,25.52,22.83,0.02,0.02,0.00,2.62,25.62
hash_table_eq,TRUE,6,8799,32.20,13.50,1.09,0.65,0.00,18.40,34.17
hash_iter_delete,TRUE,5,1463,39.94,39.27,0.01,0.00,0.00,0.63,39.98
ring_buffer_buf_belongs_to_pool,TRUE,6,234,40.73,40.67,0.00,0.00,0.00,0.03,40.76
hash_table_foreach_deep_precise,TRUE,5,9261,44.20,30.34,0.03,0.04,0.00,13.73,44.33
ring_buffer_release,TRUE,6,257,49.06,49.00,0.00,0.00,0.00,0.03,49.10
hash_table_foreach_deep_loose,TRUE,5,9202,49.14,35.65,0.03,0.04,0.00,13.37,49.27
priority_queue_push,TRUE,10,1393,61.13,60.67,0.01,0.00,0.00,0.41,61.17
priority_queue_push_ref,TRUE,10,1563,62.92,62.46,0.01,0.00,0.00,0.42,62.97
ring_buffer_acquire_up_to,TRUE,6,311,78.33,78.25,0.01,0.00,0.00,0.05,78.39
array_list_swap,TRUE,5,440,95.99,95.93,0.00,0.00,0.00,0.04,96.01
ring_buffer_acquire,TRUE,6,277,113.69,113.61,0.01,0.00,0.00,0.04,113.75
priority_queue_s_swap,TRUE,6,1197,140.04,139.85,0.01,0.00,0.00,0.16,140.10
