job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_compare_lexical,TRUE,4,554,0.48,0.42,0.00,0.00,0.00,0.04,0.51
byte_cursor_left_trim_pred,TRUE,4,270,0.06,0.03,0.00,0.00,0.00,0.01,0.08
array_list_shrink_to_fit,TRUE,6,200,3.89,3.86,0.00,0.00,0.00,0.01,3.92
byte_buf_eq_ignore_case,TRUE,6,2044,2.14,2.05,0.00,0.00,0.00,0.07,2.18
byte_cursor_read_be16,TRUE,4,188,0.08,0.05,0.00,0.00,0.00,0.02,0.10
byte_cursor_read,TRUE,5,345,0.35,0.28,0.00,0.00,0.00,0.05,0.37
byte_cursor_read_be32,TRUE,4,210,0.09,0.05,0.00,0.00,0.00,0.02,0.10
byte_cursor_read_be64,TRUE,4,253,0.10,0.06,0.00,0.00,0.00,0.03,0.12
byte_cursor_read_and_fill_buffer,TRUE,5,383,0.35,0.26,0.00,0.00,0.00,0.07,0.37
byte_cursor_read_u8,TRUE,5,248,0.12,0.07,0.00,0.00,0.00,0.03,0.14
byte_cursor_satisfies_pred,TRUE,4,226,0.05,0.03,0.00,0.00,0.00,0.01,0.07
byte_cursor_right_trim_pred,TRUE,4,278,0.11,0.08,0.00,0.00,0.00,0.01,0.13
hash_ptr,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.04
hash_array_ignore_case,TRUE,5,110,0.03,0.02,0.00,0.00,0.00,0.00,0.05
byte_cursor_eq_ignore_case,TRUE,4,1944,1.25,1.15,0.00,0.00,0.00,0.07,1.27
byte_buf_write_from_whole_string,TRUE,6,1725,1.83,1.67,0.00,0.00,0.00,0.14,1.86
hash_byte_cursor_ptr_ignore_case,TRUE,4,106,0.03,0.02,0.00,0.00,0.00,0.00,0.05
byte_cursor_compare_lookup,TRUE,4,841,1.33,1.22,0.01,0.00,0.00,0.08,1.38
array_list_push_back,TRUE,7,216,4.98,4.95,0.00,0.00,0.00,0.02,5.01
byte_cursor_trim_pred,TRUE,4,453,0.63,0.58,0.00,0.00,0.00,0.03,0.66
hash_string,TRUE,5,212,0.15,0.10,0.00,0.00,0.03,0.18
hash_callback_string_destroy,TRUE,5,147,0.14,0.12,0.00,0.00,0.01,0.15
array_list_comparator_string,TRUE,6,1619,5.27,4.99,0.00,0.00,0.00,0.26,5.30
hash_c_string,TRUE,5,669,0.22,0.08,0.01,0.01,0.11,0.28
hash_table_move,TRUE,5,431,0.33,0.20,0.00,0.00,0.00,0.10,0.36
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1989,2.03,1.93,0.00,0.00,0.00,0.07,2.05
hash_table_get_entry_count,TRUE,5,432,0.34,0.21,0.00,0.00,0.00,0.11,0.37
hash_iter_done,TRUE,5,551,0.60,0.38,0.01,0.00,0.00,0.20,0.65
array_list_copy,TRUE,7,152,5.91,5.87,0.00,0.00,0.00,0.01,5.94
hash_table_clean_up,TRUE,5,744,0.64,0.29,0.01,0.00,0.00,0.32,0.69
linked_list_init,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_callback_c_str_eq,TRUE,6,1555,1.01,0.75,0.01,0.00,0.00,0.24,1.06
hash_table_clear,TRUE,5,763,0.64,0.29,0.01,0.00,0.00,0.32,0.68
linked_list_remove,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_table_init_unbounded,TRUE,5,1041,0.59,0.42,0.00,0.00,0.00,0.15,0.62
linked_list_prev,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_table_swap,TRUE,6,1129,1.07,0.56,0.00,0.00,0.00,0.47,1.10
hash_iter_begin,TRUE,5,1193,1.55,1.04,0.01,0.01,0.00,0.48,1.61
linked_list_next,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_node_reset,TRUE,4,64,0.03,0.02,0.00,0.00,0.00,0.00,0.05
hash_table_init_bounded,TRUE,5,1161,0.98,0.78,0.00,0.00,0.00,0.16,1.00
hash_callback_string_eq,TRUE,6,2098,1.89,1.46,0.00,0.00,0.00,0.40,1.92
linked_list_insert_after,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_insert_before,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.04
hash_iter_begin_done,TRUE,5,1396,1.78,0.97,0.03,0.02,0.00,0.77,1.89
array_list_erase,TRUE,5,183,7.35,7.31,0.00,0.00,0.00,0.01,7.38
hash_iter_next,TRUE,5,831,2.22,1.89,0.01,0.00,0.00,0.30,2.26
hash_byte_cursor_ptr,TRUE,4,313,1.40,1.27,0.01,0.01,0.00,0.09,1.49
linked_list_front,TRUE,4,694,1.27,1.15,0.01,0.00,0.00,0.09,1.31
string_bytes,TRUE,5,135,0.14,0.13,0.00,0.00,0.00,0.00,0.15
