job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
string_eq_c_str,TRUE,12,1471,5.02,4.98,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,0.00,0.00,0.01,5.06
priority_queue_size,TRUE,12,290,1.05,1.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.09
string_compare,TRUE,12,1156,8.36,8.33,n/a,n/a,n/a,n/a,n/a,n/a,94,n/a,n/a,0.00,0.00,0.01,8.39
priority_queue_capacity,TRUE,12,290,1.09,1.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.13
array_eq_c_str_ignore_case2,TRUE,9,318,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
priority_queue_init_dynamic,TRUE,9,126,0.88,0.88,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.91
string_eq_byte_cursor_ignore_case,TRUE,13,3736,7.18,7.11,1,n/a,n/a,n/a,1,n/a,33,n/a,n/a,0.00,0.01,0.03,7.22
array_list_capacity2,TRUE,11,126,0.02,0.01,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.03
priority_queue_top,TRUE,12,292,1.21,1.19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.25
array_eq_c_str2,TRUE,12,962,1.17,1.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.20
array_list_back2,TRUE,14,196,0.75,0.74,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.78
array_list_front2,TRUE,14,189,0.56,0.55,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.59
hash_table_init_unbounded,TRUE,11,1036,12.32,12.26,3,13,n/a,n/a,41,n/a,n/a,8,n/a,0.00,0.00,0.03,12.35
array_list_get_at_ptr2,TRUE,13,159,0.62,0.62,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.64
array_eq_ignore_case2,TRUE,12,2210,1.41,1.36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,1.44
array_list_get_at2,TRUE,14,182,0.97,0.95,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.99
array_list_init_static2,TRUE,12,160,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
linked_list_push_front,TRUE,18,1810,10.78,10.68,21,35,39,n/a,240,54,6,n/a,n/a,0.01,0.03,0.03,10.85
array_eq2,TRUE,12,1054,2.44,2.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,2.47
array_list_set_at,TRUE,19,553,19.90,19.88,5,84,75,24,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,19.94
array_list_sort2,TRUE,11,121,0.03,0.01,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
byte_buf_advance2,TRUE,14,178,0.13,0.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.15
byte_buf_append2,TRUE,15,175,0.11,0.09,4,3,11,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.13
byte_buf_append_dynamic2,TRUE,21,277,0.23,0.21,4,6,15,n/a,n/a,n/a,3,n/a,n/a,0.00,0.00,0.00,0.25
array_list_length2,TRUE,11,125,0.92,0.91,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.94
byte_buf_append_with_lookup2,TRUE,17,509,0.27,0.24,4,52,68,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.30
array_list_ensure_capacity2,TRUE,14,201,2.26,2.25,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.28
hash_table_remove,TRUE,17,2626,13.33,13.18,n/a,n/a,n/a,n/a,n/a,n/a,179,n/a,9,0.00,0.02,0.09,13.39
array_list_pop_back2,TRUE,11,161,1.86,1.85,3,4,10,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.88
array_list_push_back2,TRUE,17,307,0.91,0.90,3,7,17,n/a,n/a,n/a,3,n/a,n/a,0.00,0.00,0.00,0.94
byte_buf_eq_c_str2,TRUE,9,324,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
byte_buf_eq_c_str_ignore_case2,TRUE,9,324,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
string_eq_c_str_ignore_case,TRUE,12,4192,7.28,7.19,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,0.00,0.01,0.04,7.33
byte_buf_write_be162,TRUE,11,120,0.07,0.06,3,3,10,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
byte_buf_write_be322,TRUE,11,120,0.07,0.06,3,3,10,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
byte_buf_write2,TRUE,13,296,0.30,0.27,3,38,52,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.32
byte_buf_write_be642,TRUE,11,134,0.08,0.06,3,3,10,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
byte_buf_cat2,TRUE,26,595,1.21,1.16,14,140,136,32,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.25
byte_buf_write_u82,TRUE,11,119,0.07,0.06,3,3,10,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
byte_cursor_advance2,TRUE,8,118,0.07,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
byte_buf_write_from_whole_cursor2,TRUE,15,334,0.34,0.31,4,52,52,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.36
byte_buf_write_from_whole_buffer2,TRUE,16,361,0.30,0.28,6,68,60,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.33
byte_cursor_read2,TRUE,13,433,0.40,0.38,1,46,32,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.42
byte_buf_eq_ignore_case2,TRUE,16,2324,1.57,1.52,3,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,1.60
byte_cursor_read_u8_2,TRUE,13,324,0.17,0.15,1,46,32,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.19
byte_buf_eq2,TRUE,16,1130,2.42,2.39,3,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,2.46
array_list_clear2,TRUE,9,128,1.79,1.78,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.81
byte_cursor_from_buf2,TRUE,11,120,0.03,0.02,3,2,3,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
byte_cursor_read_be32_2,TRUE,12,270,0.19,0.16,1,2,n/a,n/a,1,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.21
byte_cursor_eq_c_str2,TRUE,9,318,0.17,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
byte_cursor_read_be64_2,TRUE,12,332,0.25,0.23,1,6,n/a,n/a,1,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.27
byte_cursor_left_trim_pred2,TRUE,8,309,0.04,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.06
array_list_shrink_to_fit2,TRUE,14,389,3.36,3.33,4,70,108,8,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,3.39
byte_cursor_advance_nospec2,TRUE,8,138,0.12,0.11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.14
byte_cursor_eq2,TRUE,14,722,0.89,0.86,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.91
