job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_build_arm,hybrid_load,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
byte_buf_write_be162,TRUE,5,102,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.08
byte_buf_write_be322,TRUE,5,102,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.08
byte_buf_eq2,TRUE,6,1098,2.11,2.08,0.00,0.00,0.00,0.00,0.01,2.15
array_list_set_at,TRUE,7,511,22.63,22.57,0.00,0.04,0.00,0.01,0.03,22.67
byte_buf_write_be642,TRUE,5,116,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.09
byte_buf_write2,TRUE,5,271,0.74,0.71,0.00,0.01,0.00,0.00,0.01,0.76
byte_buf_write_u82,TRUE,5,101,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.08
byte_cursor_advance2,TRUE,4,106,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.07
byte_buf_cat2,TRUE,8,534,1.39,1.30,0.00,0.06,0.00,0.02,0.04,1.43
byte_buf_eq_ignore_case2,TRUE,6,2292,1.59,1.54,0.00,0.02,0.00,0.00,0.02,1.62
byte_buf_write_from_whole_cursor2,TRUE,5,303,0.49,0.45,0.00,0.02,0.00,0.01,0.01,0.52
array_list_clear2,TRUE,5,116,1.85,1.84,0.00,0.00,0.00,0.00,0.00,1.87
string_new_from_array,TRUE,6,733,9.01,8.99,0.00,0.01,0.00,0.00,0.00,9.02
hash_callback_string_eq,TRUE,6,2263,17.28,17.21,0.00,0.03,0.00,0.01,0.04,17.32
array_list_shrink_to_fit2,TRUE,6,350,3.61,3.55,0.00,0.04,0.00,0.01,0.03,3.63
byte_buf_write_from_whole_buffer2,TRUE,6,325,0.95,0.90,0.00,0.03,0.00,0.01,0.01,0.98
byte_cursor_from_buf2,TRUE,5,102,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.05
byte_cursor_read_u8_2,TRUE,5,297,0.15,0.14,0.00,0.01,0.00,0.00,0.01,0.17
byte_cursor_read_be32_2,TRUE,4,251,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.20
array_list_pop_front2,TRUE,5,233,4.83,4.79,0.00,0.03,0.00,0.01,0.02,4.86
byte_cursor_eq_c_str2,TRUE,5,308,0.13,0.12,0.00,0.00,0.00,0.00,0.00,0.15
byte_cursor_read2,TRUE,5,406,0.74,0.70,0.00,0.01,0.00,0.01,0.01,0.75
byte_cursor_read_be64_2,TRUE,4,313,0.35,0.33,0.00,0.01,0.00,0.00,0.00,0.37
byte_cursor_left_trim_pred2,TRUE,4,297,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.06
byte_cursor_eq2,TRUE,4,694,0.79,0.76,0.00,0.00,0.00,0.00,0.00,0.81
byte_cursor_advance_nospec2,TRUE,4,127,0.12,0.11,0.00,0.00,0.00,0.00,0.00,0.14
byte_cursor_read_be16_2,TRUE,4,220,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.13
byte_cursor_eq_c_str_ignore_case2,TRUE,5,308,0.15,0.13,0.00,0.00,0.00,0.00,0.00,0.16
byte_cursor_trim_pred2,TRUE,4,534,0.41,0.38,0.00,0.00,0.00,0.00,0.01,0.43
byte_cursor_right_trim_pred2,TRUE,4,279,0.09,0.08,0.00,0.00,0.00,0.00,0.00,0.12
byte_buf_write_from_whole_string,TRUE,6,2338,22.07,21.88,0.00,0.15,0.00,0.02,0.14,22.10
byte_cursor_satisfies_pred2,TRUE,4,210,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.05
byte_cursor_eq_byte_buf2,TRUE,5,709,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.53
byte_cursor_eq_byte_buf_ignore_case2,TRUE,5,2302,1.32,1.27,0.00,0.03,0.00,0.01,0.02,1.34
array_list_pop_front_n2,TRUE,5,257,3.49,3.45,0.00,0.02,0.00,0.01,0.01,3.51
byte_cursor_compare_lookup2,TRUE,4,1107,1.44,1.40,0.00,0.01,0.00,0.00,0.01,1.49
byte_cursor_read_and_fill_buffer2,TRUE,5,477,0.66,0.61,0.00,0.03,0.00,0.01,0.02,0.68
hash_table_get_entry_count2,TRUE,5,362,0.41,0.38,0.00,0.01,0.00,0.00,0.00,0.43
byte_cursor_eq_ignore_case2,TRUE,4,2213,1.28,1.22,0.00,0.03,0.00,0.01,0.02,1.31
byte_cursor_compare_lexical2,TRUE,4,706,0.79,0.76,0.00,0.00,0.00,0.00,0.01,0.81
hash_iter_done2,TRUE,5,514,0.64,0.61,0.00,0.00,0.00,0.00,0.00,0.68
array_list_erase2,TRUE,5,194,6.52,6.50,0.00,0.00,0.00,0.00,0.00,6.54
hash_iter_begin2,TRUE,5,1544,2.41,2.36,0.00,0.02,0.00,0.00,0.02,2.47
hash_iter_begin_done2,TRUE,5,1841,2.52,2.45,0.00,0.02,0.00,0.00,0.02,2.62
hash_iter_next2,TRUE,5,895,3.12,3.08,0.00,0.01,0.00,0.00,0.01,3.16
hash_table_find2,TRUE,5,1391,5.63,5.58,0.00,0.02,0.00,0.00,0.01,5.70
byte_buf_init_copy2,TRUE,5,3642,10.44,10.33,0.00,0.07,0.00,0.02,0.05,10.48
array_list_set_at2,TRUE,7,527,15.42,15.35,0.00,0.05,0.00,0.02,0.03,15.45
linked_list_swap_contents,TRUE,4,10942,24.54,22.99,0.04,1.44,0.08,1.14,0.22,24.71
array_list_swap,TRUE,5,611,36.42,36.38,0.00,0.02,0.00,0.01,0.01,36.45
byte_buf_write_from_whole_string2,TRUE,6,2240,14.88,14.69,0.00,0.16,0.00,0.02,0.14,14.91
hash_table_foreach,TRUE,5,5559,31.04,30.42,0.00,0.55,0.00,0.04,0.50,31.17
string_new_from_string,TRUE,6,1555,25.78,25.70,0.00,0.06,0.00,0.01,0.05,25.81
hash_table_put,TRUE,6,3970,34.49,24.87,0.01,9.52,0.13,9.28,0.13,34.59
ring_buffer_acquire2,TRUE,6,354,16.04,16.02,0.00,0.01,0.00,0.00,0.00,16.10
ring_buffer_release2,TRUE,6,270,16.43,16.41,0.00,0.01,0.00,0.00,0.00,16.48
hash_table_remove,TRUE,5,2868,37.82,37.61,0.00,0.16,0.00,0.01,0.16,37.88
hash_table_eq,TRUE,6,11141,36.16,33.28,0.02,2.62,1.05,1.41,0.20,38.08
ring_buffer_acquire_up_to2,TRUE,6,406,25.20,25.17,0.00,0.01,0.00,0.00,0.01,25.23
ring_buffer_buf_belongs_to_pool2,TRUE,6,274,33.67,33.64,0.00,0.01,0.00,0.00,0.00,33.70
hash_table_create,TRUE,6,3862,82.26,82.04,0.00,0.14,0.00,0.01,0.13,82.35
hash_iter_delete,TRUE,5,1401,99.64,99.54,0.00,0.06,0.00,0.01,0.06,99.68
